propertyType,price,size,rooms,bathrooms,municipality,exterior,hasLift,hasPlan,has360,distancia_centro
flat,699.0,52.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,750.0,65.0,2 habitaciones,1 aseo,Leganés,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,695.0,65.0,2 habitaciones,1 aseo,Coslada,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,750.0,78.0,2 habitaciones,2 aseos,Torrejón de Ardoz,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,620.0,60.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
studio,500.0,28.0,sin habitaciones,1 aseo,Madrid,vista interior,no tiene ascensor,no tiene planos,no tiene fotos 360,Menos de 1 km
flat,550.0,38.0,1 habitacion,1 aseo,Leganés,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,750.0,46.0,1 habitacion,1 aseo,Madrid,vista interior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
studio,680.0,55.0,sin habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,700.0,50.0,1 habitacion,2 aseos,Camarma de Esteruelas,vista exterior,desconocido,desconocido,desconocido,Entre 30 y 40 km
duplex,750.0,35.0,1 habitacion,1 aseo,Madrid,vista exterior,desconocido,desconocido,desconocido,Entre 1 y 5 km
flat,750.0,66.0,2 habitaciones,1 aseo,Alcorcón,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,650.0,65.0,1 habitacion,1 aseo,Alcalá de Henares,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,720.0,133.0,3 habitaciones,2 aseos,Pinto,vista interior,tiene ascensor,tiene planos,tiene fotos 360,Entre 10 y 20 km
flat,600.0,50.0,1 habitacion,1 aseo,Valdemoro,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,650.0,61.0,1 habitacion,1 aseo,Collado Villalba,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 30 y 40 km
flat,650.0,65.0,2 habitaciones,1 aseo,Alcorcón,vista interior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,700.0,45.0,1 habitacion,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,625.0,62.0,2 habitaciones,1 aseo,Getafe,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,595.0,45.0,1 habitacion,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
flat,650.0,55.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
