,propertyType,status,price,size,rooms,bathrooms,floor,neighborhood,address,district,province,municipality,exterior,hasLift,hasPlan,has3DTour,has360,distance,latitude,longitude
80,flat,good,750.0,95.0,3,1,8,,Calle Infante don luis,Reyes Católicos,Madrid,Alcalá de Henares,True,True,False,False,False,28483,40472241.0,-33746448.0
81,penthouse,good,700.0,30.0,1,1,1,Rejas,"Avenida de Aragón, 376",San Blas,Madrid,Madrid,True,True,False,False,True,12049,404493217.0,-35674796.0
82,flat,good,700.0,27.0,1,1,3,Lavapiés-Embajadores,Calle de Miguel Servet,Centro,Madrid,Madrid,False,False,False,False,False,1391,404044052.0,-37001704.0
83,flat,good,650.0,59.0,2,1,1,,Val,Val,Madrid,Alcalá de Henares,True,True,False,False,False,30562,404833118.0,-33528067.0
84,flat,good,550.0,40.0,1,1,3,,Casco Urbano,Casco Urbano,Madrid,Paracuellos de Jarama,True,True,False,False,False,17750,405058099.0,-35291635.0
85,flat,good,650.0,55.0,1,1,4,Rejas,barrio Rejas,San Blas,Madrid,Madrid,True,True,False,False,False,10296,404414556.0,-35860227.0
86,flat,good,750.0,65.0,2,1,,Pueblo Nuevo,Calle Francisco Rioja,Ciudad Lineal,Madrid,Madrid,True,True,False,False,False,5580,404288893.0,-36392915.0
87,flat,good,725.0,70.0,2,1,,Entrevías,Calle de Concejo de Teverga,Puente de Vallecas,Madrid,Madrid,True,True,False,False,False,4117,403867131.0,-3674711.0
88,flat,good,700.0,80.0,1,1,1,,Mayor,Casco Histórico,Madrid,Alcalá de Henares,True,False,False,False,False,29460,404815739.0,-33656669.0
89,flat,good,650.0,40.0,1,1,bj,Casco Histórico de Barajas,"BENITEZ, 15",Barajas,Madrid,Madrid,True,True,False,False,False,12224,404713512.0,-35779046.0
90,flat,good,695.0,90.0,3,1,,Los Rosales,Calle Ámbar,Villaverde,Madrid,Madrid,True,False,False,False,False,7729,403487403.0,-36840465.0
91,flat,good,750.0,55.0,1,1,,Quintana,Calle de Alcalá,Ciudad Lineal,Madrid,Madrid,True,False,False,False,False,6017,404393155.0,-36386662.0
92,flat,good,650.0,65.0,2,1,,Águilas,Calle de Fuente de Lima,Latina,Madrid,Madrid,True,True,False,False,False,7559,403827984.0,-3780637.0
93,flat,good,666.0,70.0,1,2,1,,Calle Mercurio,Los Llanos - Valle Pardo,Madrid,Villanueva del Pardillo,True,True,False,False,False,24862,404848283.0,-39831274.0
94,flat,good,750.0,78.0,2,2,,,Calle José María Pereda,Ensanche,Madrid,Alcalá de Henares,True,True,False,False,False,29976,40497798.0,-33653418.0
95,flat,good,630.0,74.0,3,1,,,Calle el Almendro,,Madrid,El Molar,True,True,False,False,False,36483,407313535.0,-35807508.0
96,studio,good,635.0,55.0,0,1,2,Valdepelayo-Montepinos-Arroyo Culebro,Arquímedes,Valdepelayo - Montepinos - Arroyo Culebro,Madrid,Leganés,True,True,False,False,False,14528,403129024.0,-38074212.0
97,flat,good,725.0,69.0,2,1,1,,"huerta, 6",Dehesa - El Soto,Madrid,Collado Villalba,True,True,False,False,False,35892,406505412.0,-39960481.0
