propertyType,status,price,priceByArea,size,rooms,bathrooms,floor,neighborhood,address,district,province,municipality,exterior,hasLift,hasPlan,has3DTour,has360,distance
flat,good,530.0,11.0,50.0,2,1,1,,Calle VALLADOLID,,Toledo,Casarrubios del Monte,True,False,False,False,False,36223
flat,good,750.0,25.0,30.0,1,1,st,Ibiza,Calle del Alcalde Sainz de Baranda,Retiro,Madrid,Madrid,False,True,False,False,False,2133
flat,good,750.0,11.0,70.0,2,1,2,,"Calle San Vidal, 43",Reyes Católicos,Madrid,Alcalá de Henares,True,True,False,False,False,28703
flat,good,625.0,12.0,52.0,2,1,2,,"Calle Hospìtal, 2",Centro,Madrid,El Escorial,True,False,False,False,False,40445
studio,good,700.0,18.0,40.0,0,1,3,Chueca-Justicia,Plaza de Santa Bárbara,Centro,Madrid,Madrid,True,True,False,False,False,1431
studio,good,750.0,19.0,40.0,0,1,en,Chopera,"Aldea del fresno, 29",Arganzuela,Madrid,Madrid,True,True,False,False,False,2417
flat,good,650.0,19.0,35.0,1,1,2,Palacio,Carrera de San Francisco,Centro,Madrid,Madrid,False,True,False,False,False,1121
flat,good,720.0,10.0,70.0,3,1,2,,Chorrillo,Chorrillo,Madrid,Alcalá de Henares,True,False,False,False,False,29099
flat,good,650.0,9.0,70.0,2,1,1,,jerez,,Toledo,Calypo Fado,True,False,False,False,False,35607
flat,good,699.0,13.0,52.0,1,1,3,Palomeras sureste,"Calle Trole, 9",Puente de Vallecas,Madrid,Madrid,True,True,False,False,False,7092
flat,good,650.0,9.0,70.0,2,1,1,,jerez,,Toledo,Calypo Fado,True,False,False,False,False,36358
flat,good,750.0,12.0,65.0,2,1,,Valdepelayo-Montepinos-Arroyo Culebro,Calle del Alcalde Saturnino del Yerro Alonso,Valdepelayo - Montepinos - Arroyo Culebro,Madrid,Leganés,True,True,False,False,False,13081
flat,good,695.0,11.0,65.0,2,1,,,Calle del Duero,Valleaguado - La Cañada,Madrid,Coslada,True,True,False,False,False,13904
flat,good,750.0,10.0,78.0,2,2,,,Calle Marte,Suroeste,Madrid,Torrejón de Ardoz,True,True,False,False,False,19719
flat,good,620.0,10.0,60.0,2,1,,Villaverde Alto,Calle de Juan Peñalver,Villaverde,Madrid,Madrid,True,False,False,False,False,7981
studio,good,500.0,18.0,28.0,0,1,1,Lavapiés-Embajadores,Calle Buenavista,Centro,Madrid,Madrid,False,False,False,False,False,769
flat,good,550.0,14.0,38.0,1,1,,Flores,Plaza de la Azucena,Centro,Madrid,Leganés,True,False,False,False,False,10938
flat,good,750.0,16.0,46.0,1,1,3,Acacias,ERCILLA,Arganzuela,Madrid,Madrid,False,True,False,False,False,1476
studio,good,680.0,12.0,55.0,0,1,bj,Ventas,Calle Francisco Villaespesa,Ciudad Lineal,Madrid,Madrid,True,False,False,False,False,5097
chalet,good,750.0,6.0,130.0,4,1,,,Marchamalo,,Guadalajara,Marchamalo,False,,False,False,False,50833
flat,good,550.0,8.0,70.0,1,1,3,,Travesía de san roque,San Roque-Concordia-Adoratrices,Guadalajara,Guadalajara,True,True,False,False,False,51634
flat,,700.0,,50.0,1,2,,,Calle La Mina,,Madrid,Camarma de Esteruelas,True,,,,,32052
duplex,,750.0,,35.0,1,1,,,Calle de González Soto,,Madrid,Madrid,True,,,,,4047
flat,good,750.0,11.0,66.0,2,1,1,Zona Renfe,INFANTAS,Centro,Madrid,Alcorcón,True,True,False,False,False,13311
flat,good,650.0,10.0,65.0,1,1,en,,Escobedos,San Isidro - Los Almendros,Madrid,Alcalá de Henares,True,True,False,False,False,29440
